sc_JavaScript,sc_Java,sc_C++,sc_Objective-C,sc_Ruby,sc_D,sc_Python,sc_Haskell,sc_C#,sc_PHP,concat(payload_pull_request_head_repo_language:freq_in),user,cluster
0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,C:ENORMOUS,9rnsr,cluster_1
0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,A24Group,cluster_1
5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,Python:SMALL|VimL:SMALL,AD7six,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,PHP:ENORMOUS,ADDCreative,cluster_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,PHP:ENORMOUS,ADmad,cluster_4
0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,Objective-C:ENORMOUS,AFNetworking,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scala:MEDIUM,AI-comp,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,JavaScript:SMALL|PHP:MEDIUM,AKSW,cluster_4
0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:MEDIUM,ALEXLCC,cluster_1
92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHP:SMALL|JavaScript:MEDIUM,ALouis38,cluster_8
43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:MEDIUM,AMDmi3,cluster_3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,Python:SMALL|Ruby:SMALL|PHP:ENORMOUS,ARNHOE,cluster_4
0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,Python:HIGH,AZaitzeff,cluster_1
70.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,JavaScript:HIGH,Aaron1011,cluster_3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R:MEDIUM,AaronGreenberg,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,PHP:HIGH,AaronKalair,cluster_4
0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,Python:ENORMOUS,AaronMT,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,Python:MEDIUM,AaronTR,cluster_1
0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,Ruby:ENORMOUS,AaronThornton00,cluster_7
0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:SMALL|Java:ENORMOUS,AartBluestoke,cluster_2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rust:ENORMOUS,Aatch,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Perl:MEDIUM,Abigail,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Emacs Lisp:HIGH,Abizern,cluster_1
0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:MEDIUM,Ablu,cluster_1
0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,Ruby:SMALL|C#:SMALL|Shell:SMALL|Python:SMALL|Clojure:SMALL|Perl:SMALL|PHP:MEDIUM|Java:HIGH|D:MEDIUM|C:SMALL|Lua:SMALL|JavaScript:MEDIUM|Objective-C:SMALL|C++:SMALL|VimL:SMALL,Abscissa,cluster_1
0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:MEDIUM|C:SMALL,AceMNT,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,PHP:ENORMOUS,Achal-Aggarwal,cluster_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HaXe:SMALL|ActionScript:MEDIUM|Haxe:MEDIUM,AdamAtomic,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clojure:HIGH,AdamSaleh,cluster_1
56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:ENORMOUS,AddictArts,cluster_3
0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,Python:HIGH,AdeHub,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,PHP:ENORMOUS,Ademarh,cluster_4
36.0,41.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,C:MEDIUM|Java:HIGH|Python:MEDIUM|Shell:SMALL,Adman,cluster_3
0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:HIGH,Adminotech,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,C#:MEDIUM,AdmiringWorm,cluster_1
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:SMALL|Python:SMALL,AdrenalineBrowser,cluster_3
169.0,0.0,0.0,0.0,0.0,0.0,508.0,0.0,0.0,0.0,Python:ENORMOUS,AdrianGaudebert,cluster_8
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSS:SMALL|JavaScript:MEDIUM,AdrienGiboire,cluster_3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C:ENORMOUS|C++:HIGH,Ae-2222,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,Python:HIGH,AeroNotix,cluster_1
0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:MEDIUM|Java:SMALL,AgileManufacturing,cluster_1
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:SMALL|JavaScript:HIGH,Agilefant-Agilegret,cluster_3
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:MEDIUM,Aintaer,cluster_3
0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM|JavaScript:SMALL,AirDisa,cluster_7
0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:ENORMOUS,AirOne70,cluster_1
0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:HIGH|Python:MEDIUM,Akasei,cluster_1
0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,Objective-C:ENORMOUS|JavaScript:ENORMOUS|Java:SMALL,Akylas,cluster_1
0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:HIGH,Akz-,cluster_1
0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:ENORMOUS,AlTimin,cluster_1
0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Objective-C:MEDIUM,AlanQuatermain,cluster_1
0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Ruby:SMALL,AlanQuatermain,cluster_1
0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C:SMALL|Java:ENORMOUS,AlanRosenthal,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C:ENORMOUS,AlbertJP,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,PHP:MEDIUM,Aldream,cluster_4
0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,AlecErasmus,cluster_2
0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:HIGH,Alex-van-der-Peet,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,ASP:SMALL|Haskell:SMALL|OCaml:SMALL|C#:SMALL|Haxe:SMALL|HaXe:SMALL|C++:HIGH|JavaScript:HIGH|PHP:ENORMOUS|Java:ENORMOUS|Prolog:SMALL|Ruby:MEDIUM|C:ENORMOUS,AlexC,cluster_4
0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,Ruby:ENORMOUS,AlexDenisov,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,Python:HIGH,AlexHill,cluster_1
0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,AlexZerr,cluster_7
0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:MEDIUM,AlexanderFabisch,cluster_1
0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:ENORMOUS,AlexanderKuzmin,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,Python:HIGH,AlexanderS,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,Java:SMALL|Python:MEDIUM|PHP:SMALL|Ruby:SMALL|JavaScript:SMALL|Shell:SMALL,AlexandreAbraham,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ruby:SMALL|JavaScript:SMALL|C:MEDIUM,Alexey-Akishin,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,PHP:HIGH,AlexeyDsov,cluster_4
0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,Python:HIGH,AlexisEidelman,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shell:MEDIUM|Perl:HIGH,Alexpux,cluster_1
89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:MEDIUM|PHP:SMALL,AliGH,cluster_8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,PHP:MEDIUM,Align,cluster_4
0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,Python:ENORMOUS,AlinT,cluster_1
0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,Aliya-cmuq,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,PHP:MEDIUM,Alkarex,cluster_4
0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,AllDayFantasy,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,C#:MEDIUM,AllTheAction,cluster_1
0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,C:SMALL|Ruby:MEDIUM,Alliants,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,PHP:ENORMOUS,AlloVince,cluster_4
0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:ENORMOUS,AlmazNasibullin,cluster_1
0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,AlmuraDev,cluster_1
309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:ENORMOUS,AlphaGit,cluster_8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OCaml:HIGH,AltGr,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,C#:HIGH,Amrykid,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,PHP:ENORMOUS,AmyStephen,cluster_0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,JavaScript:SMALL|PHP:MEDIUM|Ruby:SMALL|Shell:SMALL,Anahkiasen,cluster_4
1618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,JavaScript:ENORMOUS,AnalyticalGraphicsInc,cluster_8
0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:MEDIUM,AnastasiaStudent,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,Python:HIGH,AnatomicJC,cluster_1
0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:MEDIUM,AncientLysine,cluster_1
0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Objective-C:MEDIUM|Java:ENORMOUS|JavaScript:HIGH,AndiDog,cluster_1
0.0,0.0,0.0,0.0,32.0,0.0,36.0,0.0,0.0,0.0,Python:SMALL,AndisthermalFindLasthree,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,Python:ENORMOUS|C++:SMALL,AndreaCrotti,cluster_1
128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:SMALL|Go:SMALL|JavaScript:ENORMOUS|Scheme:SMALL,AndreasMadsen,cluster_8
0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groovy:SMALL|Java:MEDIUM,Andrei-Khadziukou,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,Python:HIGH,AndreiH,cluster_1
0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,C:ENORMOUS,AndrejMitrovic,cluster_1
0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:MEDIUM,Andrew2448,cluster_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,PHP:SMALL,AndrewAlexMac,cluster_4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,PHP:MEDIUM,AndrewDryga,cluster_4
0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:MEDIUM,AndrewEdmonds11,cluster_1
0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:MEDIUM,AndrewFerr,cluster_1
0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,AndrewJo,cluster_1
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSS:SMALL|Python:MEDIUM|JavaScript:MEDIUM,AndrewPodner,cluster_3
0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,JavaScript:SMALL|Ruby:ENORMOUS,Andrewglass1,cluster_7
83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:MEDIUM,Andrewmp1,cluster_8
0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:SMALL,Andrey9kin,cluster_1
0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:SMALL,Android-CMD-Group,cluster_1
0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:HIGH,AndyScherzinger,cluster_2
0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Java:MEDIUM,AndyYang78,cluster_1
87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,JavaScript:MEDIUM,AndyYou,cluster_8
276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C:SMALL|JavaScript:HIGH|C++:SMALL,Animatron,cluster_8
0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C++:HIGH,AnisB,cluster_1
0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,Ruby:MEDIUM,Ank13,cluster_9
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JavaScript:MEDIUM,Ankit-Maity,cluster_3
