"11";"jonathanong";"CSS";"290";"60"
"11";"jonathanong";"CoffeeScript";"57";"100"
"11";"jonathanong";"Shell";"45";"100"
"11";"jonathanong";"Ruby";"22";"100"
"11";"jonathanong";"C";"22";"100"
"11";"jonathanong";"C++";"21";"100"
"11";"jonathanong";"PHP";"16";"100"
"11";"jonathanong";"Python";"9";"100"
"11";"jonathanong";"Go";"5";"100"
"11";"jonathanong";"Java";"2";"100"
"11";"jonathanong";"Perl";"1";"100"
"11";"jonathanong";"Emacs Lisp";"1";"100"
"12";"mikermcneil";"JavaScript";"9835";"1"
"12";"mikermcneil";"CSS";"49";"100"
"12";"mikermcneil";"CoffeeScript";"27";"100"
"12";"mikermcneil";"Shell";"16";"100"
"12";"mikermcneil";"Python";"9";"100"
"12";"mikermcneil";"PHP";"1";"100"
"12";"mikermcneil";"Java";"1";"100"
"12";"mikermcneil";"Go";"1";"100"
"12";"mikermcneil";"Common Lisp";"1";"100"
"12";"mikermcneil";"C#";"1";"100"
"12";"mikermcneil";"C";"1";"100"
"12";"mikermcneil";"ActionScript";"1";"100"
"13";"hadley";"R";"11083";"1"
"13";"hadley";"JavaScript";"843";"12"
"13";"hadley";"C++";"328";"48"
"13";"hadley";"TeX";"308";"28"
"13";"hadley";"C";"273";"52"
"13";"hadley";"CSS";"165";"68"
"13";"hadley";"Shell";"115";"100"
"13";"hadley";"Ruby";"18";"100"
"13";"hadley";"Python";"13";"100"
"13";"hadley";"Java";"6";"100"
"13";"hadley";"Rebol";"5";"100"
"13";"hadley";"Turing";"4";"100"
"13";"hadley";"Scala";"1";"100"
"13";"hadley";"Perl";"1";"100"
"14";"weierophinney";"PHP";"13524";"1"
"14";"weierophinney";"Python";"680";"14"
"14";"weierophinney";"JavaScript";"514";"18"
"14";"weierophinney";"Puppet";"221";"73"
"14";"weierophinney";"CSS";"62";"100"
"14";"weierophinney";"Ruby";"6";"100"
"14";"weierophinney";"Shell";"3";"100"
"14";"weierophinney";"XSLT";"1";"100"
"14";"weierophinney";"VimL";"1";"100"
"14";"weierophinney";"Lasso";"1";"100"
"15";"jdalton";"JavaScript";"10023";"1"
"15";"jdalton";"PHP";"166";"100"
"15";"jdalton";"CSS";"75";"100"
"15";"jdalton";"Ruby";"53";"100"
"15";"jdalton";"CoffeeScript";"32";"100"
"15";"jdalton";"Shell";"16";"100"
"15";"jdalton";"C++";"5";"100"
"15";"jdalton";"Python";"3";"100"
"15";"jdalton";"C";"2";"100"
"15";"jdalton";"ASP";"2";"100"
"15";"jdalton";"XSLT";"1";"100"
"15";"jdalton";"Scala";"1";"100"
"15";"jdalton";"PureScript";"1";"100"
"15";"jdalton";"Prolog";"1";"100"
"15";"jdalton";"Java";"1";"100"
"16";"feross";"JavaScript";"5763";"1"
"16";"feross";"Python";"190";"100"
"16";"feross";"Shell";"105";"100"
"16";"feross";"CSS";"49";"100"
"16";"feross";"CoffeeScript";"38";"100"
"16";"feross";"C++";"27";"100"
"16";"feross";"C";"19";"100"
"16";"feross";"Ruby";"11";"100"
"16";"feross";"PHP";"11";"100"
"16";"feross";"TypeScript";"2";"100"
"16";"feross";"Java";"2";"100"
"16";"feross";"VimL";"1";"100"
"16";"feross";"TeX";"1";"100"
"16";"feross";"Objective-C";"1";"100"
"16";"feross";"LiveScript";"1";"100"
"16";"feross";"Go";"1";"100"
